gene_id,transcript_id,Callosal Projection Neurons (Upper Layer),Glutamatergic Neurons,Intermediate Progenitors (IP),Interneurons,Oligodendrocyte Progenitors,oRG to Astrocytes (Transitioning),oRG to Oligodendrocyte Progenitors (Transitioning),Outer Radial Glia (oRG) - Cycling,Apical Radial Glia (aRG) - Cycling,Cortical Hem Cells,Corticofugal Projection Neurons (Deep Layer),Corticothalamic Projection Neurons (Deep Layer),Glutamatergic Neurons (Unspecified Layer),Outer Radial Glia (oRG),Apical Radial Glia (aRG),Cajal-Retzius Cells,Deep Layer Projection Neurons,Newborn Deep Layer Projection Neurons,Preplate Neurons,Radial Glia (Mixed),Subcortical Progenitors
ENSG00000234127,ENST00000454678.7,6.33333334,10.5,4.083333339999999,21.783333359999997,7.08333334,73.66666684,33.416677979999996,11.000001119999999,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204310,ENST00000490711.5,12.375000459999992,13.767857419999995,10.105626269999993,35.49547189999999,12.410874799999993,76.13352072999977,23.963677240000003,20.34476028,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124496,ENST00000372922.8,8.20833335,5.141666669999999,2.7916666699999997,14.825000049999998,1.6166667,46.39166688,8.08333334,5.15833334,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000106012,ENST00000402050.7,26.700000019999997,26.3227097,18.26785715,87.29215671,15.691666689999998,135.73168845999996,22.1981843,16.29166668,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000136295,ENST00000403167.5,34.41967682,28,24.74871764,96.25000003999999,26.25,260.45971802,60.1703126,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000173114,ENST00000422987.3,184.45000287999963,44.50000052000001,14.326650359999991,287.3044314600003,18.08333378,133.3666683799997,126.60456756999982,92.66666665999999,7.333333359999999,24.466910819999995,106.82405997999984,77.50000112000008,40.200000800000005,20.66666709999999,5.6666666800000005,51.402321200000024,66.81782749000004,23.500000379999996,70.33333408000003,10.6666668,52.99192292
ENSG00000198839,ENST00000361822.8,50.833333339999996,52,37.5,102.6622229,46.91444474,326.17643636,60.33333334,25.0811114,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164880,ENST00000404767.8,28.5,31.5,29,103,42.5,211,70,50,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122778,ENST00000422774.2,428.99432244,45.5,65.5,263.05436810000003,35.5,158.50000119999999,81.5,84,106.6901278,33,220.77714559999998,326.0811511,65,27,106.3423006,94.5,51.9427254,32,82.5000012,52,17
ENSG00000167912,ENST00000662685.4,7.0371212199999995,2.6770202,0.8901515099999999,4.83106061,3.40681818,50.413136430000016,1.36111111,1.55681818,0.18181818,0,16.631062469999996,30.270707240000004,1.8964646499999998,4.51515151,0,0,0,0,0,0,0
ENSG00000166197,ENST00000370007.5,139.70217930999974,16.865985929999994,24.152381349999995,33.50000049000001,18.642857349999996,68.75952504000004,38.16666738000001,11.269047909999996,10.000000069999999,4.36904773,63.327382040000025,117.9508175299997,97.02646167999988,18.892857489999997,0,0,0,0,0,0,0
ENSG00000245573,ENST00000650855.1,1,0.33333334,0.18181819,0,0.13333334,9.782539745000001,0.22900433499999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169519,ENST00000437814.1,4,4,2,1,1,28,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174871,ENST00000311445.7,499.7438762,41.75,82.33333334,77.14633006,37.5,185.82920584000001,89.5,22,137.4944882,77.83333334,222.98546061,393.82503529999997,77.5,18,74.66666667999999,123.33333334,391.88164834,120.93041159,198.26987175999997,32.49445283,66.5
ENSG00000175376,ENST00000312234.6,81.29054307999995,16.241702079999996,16.16666691999999,20.250000299999986,9.00000012,62.61783413000009,15.000000319999998,10.666666800000002,5.999881310000001,4.33333336,37.533333979999995,69.24171194000009,54.83333404000007,8.000000140000001,0,0,0,0,0,0,0
ENSG00000149564,ENST00000444566.5,0,0.33333334,1.33333338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151503,ENST00000532445.2,2,4,0,5,0,3.5,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229117,ENST00000546591.6,948.31781455,189.96331170000005,154.9708713,370.8766637999998,139.59781584000007,1182.8526268999983,304.7520813000001,108.16270295999999,401.2537531000001,365.7825296999997,453.63039280000004,638.6629653,397.0942262,130.07924553999993,400.3163612399997,377.8907531,398.75907870000026,220.61396890000012,445.0708891,243.98812487000006,149.324943
ENSG00000182196,ENST00000543566.6,33.66106775,28.088989729999998,27.7620024,84.34586670999998,36.190118049999995,206.13266158,120.36287745000001,38.151451009999995,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182196,ENST00000315580.10,31.49177771,55.16966827000001,36.8988913,139.64753544000004,55.827130700000005,322.5290549899997,144.33339384999996,59.697245249999995,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130921,ENST00000253233.6,91.59328690999997,90.77500012,52.68571439999999,175.16785952999993,84.50785180000001,336.60581651000007,191.33456098999994,139.30040942,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174456,ENST00000546651.3,61,39,26,102.5,33.5,285,36,19,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000111237,ENST00000360579.11,113.49038569000002,51.52553454,75.32020880000002,47.29704817999998,55.15833037000001,372.5857777799999,144.79583820999997,68.80895233000001,289.8843744,115.85026119999999,38.39243103999999,51.82544103000002,46.22313036000001,98.68916954,214.03890969000003,20.571220099999998,51.560425699999996,90.55335961000004,60.55016651,59.137983000000006,63.52365204000001
ENSG00000184047,ENST00000342392.3,86.089765325,22.070681410000002,32.90312276,22.32261909,8.342453840000001,72.952047655,25.737541529999994,11.51666668,91.69696115100002,35.76337891000001,37.511277865,60.48420724999999,99.78740956500002,14.257852309999999,36.447240120000004,24.13151768,29.621020069999997,49.11251548,40.70134844999999,45.61476304,19.62222462
ENSG00000256053,ENST00000440963.2,5,20,10,39,15,182.36270332,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000126214,ENST00000553286.5,428.20138304000005,27.476695862000003,57.57262882999999,55.93652322999999,6.26665748,69.96990271074999,21.10891368,19.120672930000005,26.344141409000002,15.34317589,215.06775261,373.94856769000046,56.58881793768399,14.790076710000003,28.289892234999996,52.628687,57.00311314000002,51.936736963,73.08009170000001,25.39239176,8.50736114
ENSG00000156411,ENST00000286953.8,325.29166674,366.4403845,280.5,1012.3729420199998,287.51815744,2689.3089104399996,626.59598884,286.31526574000003,1024.98970474,770.0696129,0,0,0,0,993.6817589399999,849.0391123500001,912.80971424,679.0710038799999,1205.2438316999999,661.3533883399999,362.2722379
ENSG00000140525,ENST00000564636.1,1,0,0,1,1,0,9,1,3,0,1,1,0,1,0,0,0,0,0,0,3
ENSG00000261478,ENST00000567484.1,13,6,8,22,22,84,18,7,77,6,0,0,0,0,95,1,2,13,1,43,9
ENSG00000128881,ENST00000267890.11,979.36207874,73.5186573,150.5,325.76680818,44.333333339999996,425.5000125,128.00223,89.5000083,47.5003016,18.74772483,384.99274772,890.2083495400001,230.1995437,71.5186573,0,0,0,0,0,0,0
ENSG00000169783,ENST00000561030.5,273.82874549999997,23.2358983,12.33333334,9.5,9.5,20,3,2,2.517444076,12,198.70617133999997,262.5642871,69.20124246,6,6,27,29,16.5,59.8985344,10.5,4
ENSG00000182054,ENST00000330062.8,577.6558837800001,113.66666667999999,234.82412933999998,358.32756324,170,1551.9280430600002,841.4751095999999,291.9940884,850.3177155,273.99506579999996,265.40577134,373.82962174,163,178.49833566,649.8051272,126,211.83667834,369.0042229,289.9990754,183.33333334,245.92404109999998
ENSG00000079616,ENST00000563666.2,1.33333334,1.125,1.58333334,1.6666667,0.66666668,4.00757581,11.333333499999998,7.07022354,21.981888889999993,3.3333333799999996,0,0,0,0,6.338880560000001,0.05,3.05882353,0.64215687,4.36666668,5.00000002,0.66666668
ENSG00000013364,ENST00000395353.5,42.75,5,3.75,4,2.5,118.3637561,2.5,1,1.5,3,38,42.29166668,46.5,11.5,0,0,0,0,0,0,0
ENSG00000013364,ENST00000357402.10,17.1072625,2,1.75,1,0.5,49.13624394,0.5,0,0.5,2,8,9.166666679999999,15.5,1.5,0,0,0,0,0,0,0
ENSG00000174939,ENST00000308748.10,45.5,21.33333334,15.5,49.333333339999996,1.5,20.76434604,5,4.5,1,4,0,0,0,0,2.5,45.4826329,65.58360814,21.33333334,64.4310127,5,0.5
ENSG00000179965,ENST00000319296.10,20,28.5,25.5,58.6058099,32,190.86042357000002,55.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000103549,ENST00000493683.5,10.516666729999997,12.900000059999998,6.08333334,28.73336965,11.26666669,73.11677015000001,23.432173139999996,3.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180096,ENST00000652617.2,0.66666668,5.16666672,3.1666667599999996,6.16666682,1.16666668,27.000000519999983,9.166666879999998,1.33333338,10.833333439999999,14.416667019999998,0,0,0,0,13.666666939999999,4.33333344,2.3333333799999996,4.33333342,8.00000008,6.66666684,6.83333354
ENSG00000169955,ENST00000395094.3,3.66666676,5.000000099999999,3.3333334,13.333333559999993,5.33333342,34.33333393999999,6.000000139999998,5.00000004,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229809,ENST00000223459.11,29.00177912,18.66666668,9.6666667,50.670378299999996,27.0005007,186.09061526000002,39.333333339999996,22.98890567,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167193,ENST00000398970.5,379.90356154,77.6123652,75.24702966,164.65145157999999,66.5920169,434.84811234000006,116.38357514,72.4996985,41.5,13.5,199.75165553999997,352.83955103999995,165.1995375,49.5,0,0,0,0,0,0,0
ENSG00000174238,ENST00000313486.12,297.4150113,58.5,60.5,84.5,57.5,525.7352935,92.8333638,31.5,40,23.5,169,292.49096629999997,149.1546216,79.16666670000001,0,0,0,0,0,0,0
ENSG00000186594,ENST00000573075.7,0.030303031,1.085917862,0.044700461,0.047802199000000004,0.053558845,1.766937717,0.09084957399999999,0.030303031,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000132361,ENST00000574426.7,40.80476198000001,8.26666671,4.685714300000001,8.092857150000002,4.050000000000001,32.95238101999998,7.0500000000000025,1.7357143,2.3000000000000003,0.9,18.59285715999999,34.27857146999999,24.192857169999982,8.05,0,0,0,0,0,0,0
ENSG00000126243,ENST00000588831.5,12,12.5,11,22.5,4.5,66.5,19.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000087088,ENST00000345358.12,1046.02460447,279.55312649999996,301.998302,466.5,188.5000092,1183.7381523999998,460.1153007,147.00000119999999,430.33865790000004,423.2215798,464.9813426,657.9442157,577.98333544,340.999777,419.5,190.5,288.0001697,221.5,336,246.04784430000004,174
ENSG00000142541,ENST00000621674.4,0.07692308,29.066130200000003,1,3.0391505,3.2170021999999996,10.800228800000001,2.0593817000000003,1.015873,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000104870,ENST00000426395.7,1,1.2,2.7,1.95,0,88.332462376,1.45,1.8499999999999999,0.4,10.03332194,0,0,0,1.78333334,0,0,0,0,0,0,0
ENSG00000105655,ENST00000338128.13,27.609600989999997,23.29523839,8.550230849999998,46.56677219,7.89285715,126.92044662999996,64.37307724000001,10.57500002,366.9755395699999,413.49460639,0,0,0,0,351.54014643000005,113.37334535999999,95.81459468999999,87.09179481999998,170.51157437999996,217.53689078000005,154.41184915000002
ENSG00000064489,ENST00000602804.5,1,4.2,2,2,2,20.29463697,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267629,ENST00000586064.3,5.1666667,5.16666668,2.5,6.33333334,1.5,30.33333342,2.5,1,5.1666666800000005,7.0000000600000005,0,0,0,0,2.8333333400000003,0.5,1.83333334,2.5,0.6666667,3.33333334,1
ENSG00000105726,ENST00000357324.11,17.000000119999996,14.800000169999993,8.20000011,24.66666689999999,13.533333549999996,83.83840882,18.250000189999994,9.166666719999998,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000105552,ENST00000545387.6,5.200000080000001,5.66666678,2.3333334,8.68403394,4.333333359999999,31.779670489999987,4.66666672,2.6666666999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000074219,ENST00000598810.5,8.416666670000001,2.6166666700000003,14.183333349999993,36.60689929,12.483333339999996,48.840451930000064,26.816666669999975,13.866420179999995,47.307119650950035,18.916666719999988,1.8499999999999999,1.5,0.4,10.800000009999996,49.03403652000003,1.4,1.76666667,27.716666689999993,15.350000009999995,11.43333335,17.19422079
ENSG00000100359,ENST00000248929.14,46.218741390000005,32.61810622,18.250000019999998,66.75000003999999,19.75,144.19588714,61.91666668,30.4166667,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183864,ENST00000434408.2,45.19903675,44.6895235,26.2771714,144.616996,43.5,580.39719139,50.3452772,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000159958,ENST00000291232.5,37,10,8,23,13,21,145,25,118,15,22,18,20,19,95,5,5,11,5,32,18
ENSG00000185278,ENST00000367701.10,901.1148099799999,0,121.1779916,0,0,0,0,0,37.4310127,26,388.72390129999997,709.5586978800001,287.25682194,87.4310129,0,0,0,0,0,0,0
ENSG00000082258,ENST00000264157.10,243.4821732799999,0,44.33333340000001,0,0,0,0,0,15.6666667,9.08333334,145.75986543999997,249.98356477999997,102.16183006999998,28.83333338,0,0,0,0,0,0,0
ENSG00000164082,ENST00000464585.1,32.02873017999998,0,16.200000139999993,0,0,0,0,0,0.33333334,4.00000002,21.116666879999986,68.45000118000006,7.00000008,1.0000000199999999,1.66666668,12.33333356,13.333333579999994,13.000000179999994,6.666666760000001,0,0.66666668
ENSG00000157388,ENST00000636627.2,5.64722222,0,2.194444446,0,0,0,0,0,0,0,1.06111111,8.619748116,1.504761905,0,0,0,0,0,0,0,0
ENSG00000287707,ENST00000667061.1,21.5,0,4.5,0,0,0,0,0,0.5,2.5,26,32.24702966,30,0.5,0,0,0,0,0,0,0
ENSG00000272335,ENST00000607056.1,264.99999994,0,42,0,0,0,0,0,10,4,189,293.9958253,104.00085870000001,22,0,0,0,0,0,0,0
ENSG00000044115,ENST00000519113.5,1,0,5,0,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0
ENSG00000146007,ENST00000274712.8,1228.8706233399998,0,314,0,0,0,0,0,404,222,593.6666666799999,697.0372874,271,141,365,239.95750564,363,339,462,160,128
ENSG00000146215,ENST00000372569.8,11,0,2,0,0,0,0,0,10,0,6,4.5,1,4,0,0,0,0,0,0,0
ENSG00000160932,ENST00000521699.5,57.69994340999995,0,4.36666673,0,0,0,0,0,9.500000099999996,1.9761905199999998,17.800000179999994,14.991666879999988,13.659396409999996,2.23333337,11.56666674,0.5000000099999999,13.542857229999996,2.6666667200000003,0.83333335,2.1666667099999994,1.03333335
ENSG00000111237,ENST00000549578.6,1222.4426306130008,0,132.85843063000002,0,0,0,0,0,146.16853412999998,129.991218,556.31116921,983.1167288200005,268.4908130999999,64.10563618,111.67197149000002,295.58116722999995,312.65202464,145.53856763000005,507.51887073,78.26214212000001,64.4699048
ENSG00000118946,ENST00000377918.8,407.42645708,0,21.5,0,0,0,0,0,24.33333334,40.833333339999996,847.83333334,946.1361827,194.32214158,7,4.83333334,92.16666670000001,181,32.5,180.16666668,12.33333334,21
ENSG00000100664,ENST00000216554.8,2580.705972900001,0,513.6544213000002,0,0,0,0,0,346.89632204000003,219.4166667,996.7125392799999,1528.4908085400007,1557.8956870000004,560.6677219399999,0,0,0,0,0,0,0
ENSG00000075413,ENST00000555235.1,36.46688709000001,0,6.1719946870000015,0,0,0,0,0,3.860980266,0.766359582,20.819348072,51.52467197930001,10.830339492999999,5.719764764000001,0,0,0,0,0,0,0
ENSG00000242028,ENST00000406925.7,339.35762307000044,0,98.90347449999993,0,0,0,0,0,140.19880671999988,117.61666750999994,161.6666677199999,255.14973961000015,322.88642879000014,68.45833386999999,140.72035279999986,113.08333391999992,160.38453871999994,112.11762314999989,164.28084272999996,116.31250141999988,46.98444319000001
ENSG00000255571,ENST00000663717.1,5.647947781999998,0,7.069071192000001,0,0,0,0,0,2.8476793719999995,2.1465192,3.390975599,6.242886955,7.0759143899999994,3.0925447560000006,0,0,0,0,0,0,0
ENSG00000159459,ENST00000290650.9,214.75784219999997,0,76.5,0,0,0,0,0,16,10,96.0000033,187.00036599999999,136.55577176,36.0005007,0,0,0,0,0,0,0
ENSG00000067369,ENST00000382044.9,837.3228864700012,0,107.86190442999998,0,0,0,0,0,312.74790399999995,223.74021640000004,390.0793081599999,579.92948931,348.10476116,104.2050409,264.56591039000006,251.00418211000007,298.70496962,373.44739143659996,371.80168073999994,132.27428981,87.98333337
ENSG00000287553,ENST00000670012.2,7,0,2,0,0,0,0,0,1,6.5,3,4,1,0,0,0,0,0,0,0,0
ENSG00000006015,ENST00000595077.1,140.33333342999998,0,28.16666667,0,0,0,0,0,8,7,82.50000001,178.6011905,49.16666667,16.15291277,0,0,0,0,0,0,0
ENSG00000126453,ENST00000594793.1,0.05882353,0,0,0,0,0,0,0,0.11764706,0,0,0,0.05882353,0,0,0,0,0,0,0,0
ENSG00000100211,ENST00000492537.5,0.2,0,0,0,0,0,0,0,0,0.16666667,0,0,0,0,0,0,0,0,0,0,0
ENSG00000106003,ENST00000359574.7,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5,0,0,0,0,0,0,0
ENSG00000163328,ENST00000459996.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000074219,ENST00000539846.5,0,0,0,0,0,0,0,0,0,0.16666667,0,0,0,0,0,0,0,0,0,0,0
ENSG00000138074,ENST00000408041.5,0,0,0,0,0,0,0,0,0,4.83333334,0,0,0,0,0,0.83333334,1,0,0,0,0
ENSG00000115825,ENST00000379066.5,0,0,0,0,0,0,0,0,92.6166667,35.64929954,0,0,0,0,79.58333338,10.833333360000001,9.5,41.154219680000004,20.259075324999998,42.50000004,31.41665145
ENSG00000215217,ENST00000509627.1,0,0,0,0,0,0,0,0,3.5,6.79168561075,0,0,0,0,4,1,1,3,1.74702966,2.5,0
ENSG00000124507,ENST00000538621.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.25,3.75,0.5,0.25,0,0
ENSG00000136944,ENST00000355497.10,0,0,0,0,0,0,0,0,0.33333334,8.666666940000002,0,0,0,0,0,5.3333334599999995,0,0.66666668,0,0.33333334,0
ENSG00000174165,ENST00000526986.5,0,0,0,0,0,0,0,0,2,0.33333334,0,0,0,0,0,0,8,0.9813426,1,1,0.33333334
